"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
12.6,1.96267043766437,17.7566365753584,11.4583228751695,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12.7,2.82484391988424,18.3225940561528,11.5177655070289,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12.8,2.68988254336278,17.3142587084024,11.4805125519483,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12.9,2.18307547766722,17.8006314139918,11.5453096971939,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13,3.37429593720088,18.6213129927683,11.8175528453711,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.1,2.44343750087165,18.8444837811888,11.790193997374,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.2,3.50876993198244,17.9521217128188,12.0087784670426,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.3,3.37226643770231,19.2514843688593,11.9159600269008,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.4,3.33534715078628,18.3783237480966,11.9101595903014,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.5,2.97496945453685,18.6319072312781,11.7791106896236,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.6,3.41241599591132,18.8795490846616,11.9174991975696,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.7,3.18395716503397,19.2407966623695,12.0451790582213,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.8,3.65784444570875,19.1405620427768,12.196436546277,-348.105302673517,"gaze_duration",TRUE,"wt-1"
13.9,3.19549428314895,19.5601597398973,12.2846496863236,-348.105302673517,"gaze_duration",TRUE,"wt-1"
14,3.59898776229699,19.7467684244654,12.1385257100185,-348.105302673517,"gaze_duration",TRUE,"wt-1"
14.1,3.64370959168053,19.0997353305851,12.2473352227988,-348.105302673517,"gaze_duration",TRUE,"wt-1"
14.2,3.90086873535876,19.6685334742598,12.2979644877566,-348.105302673517,"gaze_duration",TRUE,"wt-1"
14.3,3.95348887323593,20.1598092746843,12.5474446450391,-348.105302673517,"gaze_duration",TRUE,"wt-1"
14.4,4.41834381977839,19.9138730175318,12.648519410911,-348.105302673517,"gaze_duration",TRUE,"wt-1"
14.5,3.84044865528989,19.5070019585481,12.4305357224206,-348.105302673517,"gaze_duration",TRUE,"wt-1"
14.6,4.1158203610218,20.197186587895,12.7586903001044,-348.105302673517,"gaze_duration",TRUE,"wt-1"
14.7,4.00364958105649,19.9840784669662,12.5606647900896,-348.105302673517,"gaze_duration",TRUE,"wt-1"
