,experiment,metric,measure,lm_fit,n_subj,n_item,Q1,median,Q3,failed_mean,power_Q1,power_median,power_Q3
102,Coordination,go_past_time,G-Maze,ill,200,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.0133333333333333,0.71,0.163265306122449,0.0510204081632653
103,Coordination,go_past_time,A-Maze,ill,100,24,72.3069818505314,95.9125598804189,120.253084034832,0.02,0.96969696969697,1,1
104,Coordination,go_past_time,A-Maze,ill,120,24,72.3069818505314,95.9125598804189,120.253084034832,0.0233333333333333,0.96969696969697,1,1
105,Coordination,go_past_time,A-Maze,ill,140,24,72.3069818505314,95.9125598804189,120.253084034832,0.02,0.989583333333333,1,1
106,Coordination,go_past_time,A-Maze,ill,160,24,72.3069818505314,95.9125598804189,120.253084034832,0.04,1,1,1
107,Coordination,go_past_time,A-Maze,ill,180,24,72.3069818505314,95.9125598804189,120.253084034832,0.02,0.97979797979798,1,1
108,Coordination,go_past_time,A-Maze,ill,200,24,72.3069818505314,95.9125598804189,120.253084034832,0.04,0.989690721649485,1,1
109,Coordination,go_past_time,SPR,ill,100,24,1.60024671039284,6.83760419543333,12.4061091867437,0.0383333333333333,0.0519804666304938,0.212467783505155,0.628853669127225
110,Coordination,go_past_time,SPR,ill,120,24,1.60024671039284,6.83760419543333,12.4061091867437,0.0516666666666666,0.0573521432447097,0.235748626373626,0.594736842105263
111,Coordination,go_past_time,SPR,ill,140,24,1.60024671039284,6.83760419543333,12.4061091867437,0.0566666666666666,0.0265957446808511,0.254559873116574,0.725972730295976
112,Coordination,go_past_time,SPR,ill,160,24,1.60024671039284,6.83760419543333,12.4061091867437,0.065,0.026427771556551,0.302706294551166,0.7
113,Coordination,go_past_time,SPR,ill,180,24,1.60024671039284,6.83760419543333,12.4061091867437,0.05,0.0588538091969801,0.363429774969516,0.844723834085536
114,Coordination,go_past_time,SPR,ill,200,24,1.60024671039284,6.83760419543333,12.4061091867437,0.0483333333333333,0.02594442032132,0.410239361702128,0.872366651725684
115,Relative Clause,go_past_time,MoTR,good,100,24,28.2668684700325,36.7909003045261,45.0861895403858,0.00999999999999999,0.64,0.86734693877551,0.96969696969697
116,Relative Clause,go_past_time,MoTR,good,120,24,28.2668684700325,36.7909003045261,45.0861895403858,0.0333333333333334,0.66,0.894736842105263,1
117,Relative Clause,go_past_time,MoTR,good,140,24,28.2668684700325,36.7909003045261,45.0861895403858,0.0233333333333333,0.845360824742268,0.938775510204082,0.989795918367347
118,Relative Clause,go_past_time,MoTR,good,160,24,28.2668684700325,36.7909003045261,45.0861895403858,0.0366666666666667,0.795698924731183,0.947916666666667,1
119,Relative Clause,go_past_time,MoTR,good,180,24,28.2668684700325,36.7909003045261,45.0861895403858,0.0333333333333333,0.822916666666667,0.979166666666667,1
120,Relative Clause,go_past_time,MoTR,good,200,24,28.2668684700325,36.7909003045261,45.0861895403858,0.0466666666666666,0.89247311827957,0.989690721649485,1
121,Relative Clause,go_past_time,G-Maze,good,100,24,72.6609621838719,96.5732089711753,121.436221056026,0.00333333333333333,0.666666666666667,0.94,0.98
122,Relative Clause,go_past_time,G-Maze,good,120,24,72.6609621838719,96.5732089711753,121.436221056026,0.0233333333333333,0.721649484536082,0.94949494949495,0.989690721649485
123,Relative Clause,go_past_time,G-Maze,good,140,24,72.6609621838719,96.5732089711753,121.436221056026,0.00999999999999999,0.777777777777778,0.93,1
124,Relative Clause,go_past_time,G-Maze,good,160,24,72.6609621838719,96.5732089711753,121.436221056026,0.0233333333333333,0.6875,0.948979591836735,1
125,Relative Clause,go_past_time,G-Maze,good,180,24,72.6609621838719,96.5732089711753,121.436221056026,0.0266666666666667,0.826530612244898,0.958762886597938,1
126,Relative Clause,go_past_time,G-Maze,good,200,24,72.6609621838719,96.5732089711753,121.436221056026,0.00999999999999999,0.81,0.96969696969697,1
127,Relative Clause,go_past_time,A-Maze,good,100,24,55.4953587819672,73.0423501855069,91.1969022071944,0.01,0.948979591836735,0.97979797979798,1
128,Relative Clause,go_past_time,A-Maze,good,120,24,55.4953587819672,73.0423501855069,91.1969022071944,0.0133333333333333,0.918367346938776,0.99,1
129,Relative Clause,go_past_time,A-Maze,good,140,24,55.4953587819672,73.0423501855069,91.1969022071944,0.00333333333333334,0.95,1,1
130,Relative Clause,go_past_time,A-Maze,good,160,24,55.4953587819672,73.0423501855069,91.1969022071944,0.0266666666666667,0.947916666666667,0.989795918367347,1
131,Relative Clause,go_past_time,A-Maze,good,180,24,55.4953587819672,73.0423501855069,91.1969022071944,0.03,0.93,0.97979797979798,1
132,Relative Clause,go_past_time,A-Maze,good,200,24,55.4953587819672,73.0423501855069,91.1969022071944,0.03,0.947916666666667,1,1
133,Relative Clause,go_past_time,SPR,good,100,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.045,0.183886054421769,0.131922196796339,0.286458333333333
134,Relative Clause,go_past_time,SPR,good,120,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.045,0.17155612244898,0.167467948717949,0.331036353771026
