expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,J-I,K-I,K-J,right_bounded_rt,right_bounded_rt2,P-O,O-K,go_pass_time,FPFix,FPReg
1,2,15,at,11,No,No,1,428,428,0,0,-428,-428,0,0,0,0,0,0,0
1,2,15,the,12,No,No,1,501,501,501,0,0,0,501,501,0,0,501,1,0
1,2,15,concert.,13,No,No,1,357,357,357,0,0,0,357,357,0,0,4424,1,1
1,2,16,The,0,No,Yes,0,500,15381,500,14881,0,-14881,500,500,0,0,500,1,0
1,2,16,ranger,1,No,Yes,0,1099,3446,1099,2347,0,-2347,1099,1099,0,0,1099,1,0
1,2,16,gave,2,No,Yes,0,9099,9995,9099,896,0,-896,9247,9247,0,148,10573,1,1
1,2,16,matches,3,No,Yes,0,826,6926,826,6100,0,-6100,826,826,0,0,826,1,0
1,2,16,to,4,No,Yes,0,634,634,634,0,0,0,634,634,0,0,23384,1,1
1,2,16,the,5,No,Yes,0,200,200,200,0,0,0,200,200,0,0,200,1,0
1,2,16,"camper,",6,No,Yes,0,501,501,501,0,0,0,501,501,0,0,501,1,0
1,2,16,and,7,No,Yes,0,80,80,80,0,0,0,80,80,0,0,80,1,0
1,2,16,his,8,No,Yes,0,146,146,146,0,0,0,146,146,0,0,146,1,0
1,2,16,friend,9,No,Yes,0,474,474,474,0,0,0,474,474,0,0,474,1,0
1,2,16,made,10,No,Yes,0,200,200,200,0,0,0,200,200,0,0,200,1,0
1,2,16,a,11,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,16,fire,12,No,Yes,0,101,101,101,0,0,0,101,101,0,0,101,1,0
1,2,16,by,13,No,Yes,0,451,451,451,0,0,0,451,451,0,0,451,1,0
1,2,16,the,14,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,16,tent.,15,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,There,0,Because of rumors.,Because of rumors.,1,300,1122,300,822,0,-822,1122,1122,0,822,1122,1,0
2,1,1,are,1,Because of rumors.,Because of rumors.,1,401,401,401,0,0,0,401,401,0,0,401,1,0
2,1,1,now,2,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,rumblings,3,Because of rumors.,Because of rumors.,1,626,626,626,0,0,0,626,626,0,0,626,1,0
2,1,1,that,4,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,Apple,5,Because of rumors.,Because of rumors.,1,479,949,479,470,0,-470,479,479,0,0,479,1,0
2,1,1,might,6,Because of rumors.,Because of rumors.,1,420,650,420,230,0,-230,420,420,0,0,420,1,0
2,1,1,soon,7,Because of rumors.,Because of rumors.,1,401,401,401,0,0,0,401,401,0,0,401,1,0
2,1,1,invade,8,Because of rumors.,Because of rumors.,1,801,801,801,0,0,0,801,801,0,0,1501,1,1
2,1,1,the,9,Because of rumors.,Because of rumors.,1,330,330,0,0,-330,-330,0,0,0,0,0,0,0
2,1,1,smart,10,Because of rumors.,Because of rumors.,1,99,220,0,121,-99,-220,0,0,0,0,0,0,0
2,1,1,watch,11,Because of rumors.,Because of rumors.,1,300,723,300,423,0,-423,723,723,0,423,1273,1,1
2,1,1,"space,",12,Because of rumors.,Because of rumors.,1,526,526,526,0,0,0,526,526,0,0,526,1,0
2,1,1,though,13,Because of rumors.,Because of rumors.,1,601,601,601,0,0,0,601,601,0,0,601,1,0
2,1,1,the,14,Because of rumors.,Because of rumors.,1,442,442,0,0,-442,-442,0,0,0,0,0,0,0
2,1,1,company,15,Because of rumors.,Because of rumors.,1,476,476,0,0,-476,-476,0,0,0,0,0,0,0
2,1,1,is,16,Because of rumors.,Because of rumors.,1,299,299,0,0,-299,-299,0,0,0,0,0,0,0
2,1,1,maintaining,17,Because of rumors.,Because of rumors.,1,501,501,0,0,-501,-501,0,0,0,0,0,0,0
2,1,1,its,18,Because of rumors.,Because of rumors.,1,98,98,0,0,-98,-98,0,0,0,0,0,0,0
2,1,1,customary,19,Because of rumors.,Because of rumors.,1,429,429,0,0,-429,-429,0,0,0,0,0,0,0
2,1,1,silence.,20,Because of rumors.,Because of rumors.,1,720,720,0,0,-720,-720,0,0,0,0,0,0,0
2,1,1,The,21,Because of rumors.,Because of rumors.,1,450,450,0,0,-450,-450,0,0,0,0,0,0,0
2,1,1,watch,22,Because of rumors.,Because of rumors.,1,100,100,0,0,-100,-100,0,0,0,0,0,0,0
2,1,1,doesn't,23,Because of rumors.,Because of rumors.,1,484,484,0,0,-484,-484,0,0,0,0,0,0,0
2,1,1,have,24,Because of rumors.,Because of rumors.,1,467,467,0,0,-467,-467,0,0,0,0,0,0,0
2,1,1,a,25,Because of rumors.,Because of rumors.,1,83,83,0,0,-83,-83,0,0,0,0,0,0,0
2,1,1,microphone,26,Because of rumors.,Because of rumors.,1,540,540,0,0,-540,-540,0,0,0,0,0,0,0
2,1,1,or,27,Because of rumors.,Because of rumors.,1,350,350,0,0,-350,-350,0,0,0,0,0,0,0
2,1,1,"speaker,",28,Because of rumors.,Because of rumors.,1,202,629,202,427,0,-427,629,629,0,427,6068,1,1
2,1,1,but,29,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,you,30,Because of rumors.,Because of rumors.,1,400,400,400,0,0,0,400,400,0,0,400,1,0
2,1,1,can,31,Because of rumors.,Because of rumors.,1,301,301,301,0,0,0,301,301,0,0,301,1,0
2,1,1,use,32,Because of rumors.,Because of rumors.,1,76,76,76,0,0,0,76,76,0,0,76,1,0
2,1,1,it,33,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,to,34,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,control,35,Because of rumors.,Because of rumors.,1,648,648,648,0,0,0,648,648,0,0,648,1,0
2,1,1,the,36,Because of rumors.,Because of rumors.,1,200,200,200,0,0,0,200,200,0,0,200,1,0
2,1,1,music,37,Because of rumors.,Because of rumors.,1,470,470,470,0,0,0,470,470,0,0,470,1,0
2,1,1,on,38,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,your,39,Because of rumors.,Because of rumors.,1,72,72,72,0,0,0,72,72,0,0,72,1,0
2,1,1,phone.,40,Because of rumors.,Because of rumors.,1,827,827,827,0,0,0,827,827,0,0,827,1,0
2,1,1,You,41,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,can,42,Because of rumors.,Because of rumors.,1,151,151,151,0,0,0,151,151,0,0,151,1,0
2,1,1,glance,43,Because of rumors.,Because of rumors.,1,380,582,380,202,0,-202,380,380,0,0,380,1,0
2,1,1,at,44,Because of rumors.,Because of rumors.,1,147,147,147,0,0,0,147,147,0,0,349,1,1
2,1,1,the,45,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,watch,46,Because of rumors.,Because of rumors.,1,475,475,475,0,0,0,475,475,0,0,475,1,0
2,1,1,face,47,Because of rumors.,Because of rumors.,1,249,249,249,0,0,0,249,249,0,0,249,1,0
2,1,1,to,48,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,view,49,Because of rumors.,Because of rumors.,1,132,132,132,0,0,0,132,132,0,0,132,1,0
2,1,1,the,50,Because of rumors.,Because of rumors.,1,243,243,243,0,0,0,243,243,0,0,243,1,0
2,1,1,artist,51,Because of rumors.,Because of rumors.,1,475,475,475,0,0,0,475,475,0,0,475,1,0
2,1,1,and,52,Because of rumors.,Because of rumors.,1,84,84,84,0,0,0,84,84,0,0,84,1,0
2,1,1,title,53,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,of,54,Because of rumors.,Because of rumors.,1,96,96,96,0,0,0,96,96,0,0,96,1,0
2,1,1,a,55,Because of rumors.,Because of rumors.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,song.,56,Because of rumors.,Because of rumors.,1,324,324,324,0,0,0,324,324,0,0,324,1,0
2,1,2,Two,0,Spots on the sun.,Spots on the sun.,1,618,618,618,0,0,0,618,618,0,0,618,1,0
2,1,2,days,1,Spots on the sun.,Spots on the sun.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,"later,",2,Spots on the sun.,Spots on the sun.,1,571,571,571,0,0,0,571,571,0,0,571,1,0
